duty_cycle,power_consumption
0,30.5
5,30.8
10,31.2
15,31.5
20,32.2
25,32.5
30,31.2
35,31.9
40,31.9
45,31.9
50,32.2
55,32.5
60,32.9
65,33.2
70,33.9
75,34.2
80,35.3
85,35.6
90,36.6
95,37.3
100,38.3
