duty_cycle,power_consumption
0,30.5
5,30.5
10,31.2
15,31.5
20,31.2
25,31.9
30,31.5
35,31.2
40,31.5
45,32.2
50,32.5
55,32.5
60,32.9
65,33.6
70,34.2
75,34.6
80,35.3
85,36.3
90,37.0
95,37.6
100,38.7
