time_seconds,temp_c,fan_1_rpm,fan_2_rpm,fan_3_rpm
0,77.5,5880,5880,5280
5,78.0,5880,5880,5280
10,77.5,6240,6120,5280
15,77.25,5880,5880,5280
20,77.75,6240,6120,5280
25,77.0,5880,5880,5280
30,77.25,6120,6120,5280
35,77.75,6240,6240,5280
40,77.5,5880,5880,5280
45,77.5,5880,5880,5280
50,77.25,6240,6240,5280
55,77.0,5880,6120,5280
60,77.0,5880,5880,5280
65,77.25,6240,6240,5280
70,77.0,6120,6120,5280
75,77.5,5880,5880,5280
80,77.0,6240,6120,5280
85,77.25,5880,5880,5280
90,77.25,6240,6120,5280
95,77.0,5880,6000,5280
100,77.0,6000,5880,5280
105,77.25,5880,5880,5280
110,77.75,5880,5880,5280
115,77.5,5880,6000,5280
120,77.25,6240,6240,5280
125,77.25,5880,5880,5280
130,77.25,5880,5880,5280
135,77.5,5880,5880,5280
140,77.25,6240,6240,5280
145,77.5,6240,6240,5280
150,77.25,6120,6120,5280
155,77.25,5880,5880,5280
160,66.5,5880,5880,5400
165,64.75,5880,5880,5400
170,63.0,5880,5880,5400
175,62.0,5880,5880,5400
180,60.25,5880,5880,5400
185,59.5,5880,5880,5400
190,57.75,5880,5880,5400
195,56.5,5880,5880,5400
200,55.5,5880,5880,5400
205,54.5,5880,5880,5400
210,53.75,5880,5880,5400
215,53.0,5880,5880,5400
220,51.75,5880,5880,5400
225,50.75,5880,5880,5400
230,50.25,5880,5880,5400
235,49.0,5880,5880,5400
240,48.0,5880,5880,5400
245,47.25,5880,5880,5400
250,46.5,5880,5880,5400
255,46.25,5880,5880,5400
260,45.0,5880,5880,5400
265,44.25,5880,5880,5400
270,44.0,5880,5880,5400
275,43.25,5880,5880,5400
280,42.5,5880,5880,5400
285,42.0,5880,5880,5400
290,41.5,5880,5880,5400
295,41.0,5880,5880,5400
300,40.25,5880,5880,5400
305,39.75,5880,5880,5400
310,39.5,5880,5880,5400
315,39.25,5880,5880,5400
320,38.25,5880,5880,5400
325,38.0,5880,5880,5400
330,37.75,5880,5880,5400
335,37.25,5880,5880,5400
340,37.0,5880,5880,5400
345,36.25,5880,5880,5400
350,35.75,5880,5880,5400
355,35.75,5880,5880,5400
360,35.5,5880,5880,5400
365,34.75,5880,5880,5400
370,34.75,5880,5880,5400
375,34.75,5880,5880,5400
